epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.864297,1.13736,0,1,1.3815,0,0,0
2,3.07255,1.13105,0,1,1.37046,1.35826e-05,1.35826e-05,1.35826e-05
3,3.59258,1.26652,0,1,1.35425,2.57506e-05,2.57506e-05,2.57506e-05
4,4.03931,1.14454,0,1,1.33482,3.65038e-05,3.65038e-05,3.65038e-05
5,4.52435,1.14713,0,1,1.31677,4.58423e-05,4.58423e-05,4.58423e-05
6,4.99282,1.07411,0,1,1.29707,5.37661e-05,5.37661e-05,5.37661e-05
7,5.42734,1.10827,0,1,1.26725,6.02752e-05,6.02752e-05,6.02752e-05
8,5.85932,1.13327,0,1,1.24985,6.53696e-05,6.53696e-05,6.53696e-05
9,6.31139,0.98046,0,1,1.23709,6.90493e-05,6.90493e-05,6.90493e-05
10,6.77096,1.06712,0,1,1.22139,7.13142e-05,7.13142e-05,7.13142e-05
11,7.20955,0.93896,0,1,1.19607,7.21645e-05,7.21645e-05,7.21645e-05
12,7.7036,0.9405,0,1,1.17628,7.16e-05,7.16e-05,7.16e-05
13,8.51837,0.91297,0,1,1.16999,6.96209e-05,6.96209e-05,6.96209e-05
14,9.22685,0.90241,0.33333,1,1.15867,6.6227e-05,6.6227e-05,6.6227e-05
15,9.73489,0.81519,0.33333,1,1.14622,6.14184e-05,6.14184e-05,6.14184e-05
16,10.3453,0.83717,0.33333,1,1.13442,5.51951e-05,5.51951e-05,5.51951e-05
17,10.8316,0.79979,0.33333,1,1.12606,4.75571e-05,4.75571e-05,4.75571e-05
18,11.2754,0.8309,0.33333,1,1.12606,3.85044e-05,3.85044e-05,3.85044e-05
19,11.7133,0.83735,0.33333,1,1.12144,2.8037e-05,2.8037e-05,2.8037e-05
20,12.1287,0.75825,0.33333,1,1.12144,1.61548e-05,1.61548e-05,1.61548e-05
