epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.7208,0.70228,0.33333,1,1.91392,0.00020006,0.00020006,0.00020006
2,35.3202,0.12743,0.33333,1,3.40363,0.000393897,0.000393897,0.000393897
3,53.0677,0.01654,0.33333,1,4.854,0.000566513,0.000566513,0.000566513
4,70.5762,0.003,0.33333,1,5.41685,0.000717908,0.000717908,0.000717908
5,87.914,0.0011,0.33333,1,5.85625,0.000848083,0.000848083,0.000848083
6,104.751,0.0005,0.33333,1,6.12234,0.000957037,0.000957037,0.000957037
7,121.769,0.00042,0.33333,1,6.30409,0.00100459,0.00100459,0.00100459
8,139.043,0.0002,0.33333,1,6.46538,0.000933851,0.000933851,0.000933851
9,156.665,0.00017,0.33333,1,6.49848,0.000863116,0.000863116,0.000863116
10,174.201,0.0003,0.33333,1,6.55537,0.00079238,0.00079238,0.00079238
11,191.858,0.00014,0.33333,1,6.775,0.000721645,0.000721645,0.000721645
12,209.656,0.00012,0.33333,1,6.6959,0.000650909,0.000650909,0.000650909
13,227.249,0.0001,0.33333,1,6.75694,0.000580174,0.000580174,0.000580174
14,245.082,0.00011,0.33333,1,6.66734,0.000509438,0.000509438,0.000509438
15,263.458,0.0001,0.33333,1,6.59923,0.000438703,0.000438703,0.000438703
16,281.862,0.0001,0.33333,1,6.6766,0.000367967,0.000367967,0.000367967
17,300.226,0.00012,0.33333,1,6.562,0.000297232,0.000297232,0.000297232
18,318.295,0.00011,0.33333,1,6.86029,0.000226497,0.000226497,0.000226497
19,337.059,9e-05,0.33333,1,6.63642,0.000155761,0.000155761,0.000155761
20,355.68,0.0001,0.33333,1,6.59163,8.50255e-05,8.50255e-05,8.50255e-05
1,18.683,0.70228,0.33333,1,1.91392,0.00020006,0.00020006,0.00020006
2,39.1469,0.12743,0.33333,1,3.40363,0.000393897,0.000393897,0.000393897
3,58.4312,0.01654,0.33333,1,4.854,0.000566513,0.000566513,0.000566513
4,78.8226,0.003,0.33333,1,5.41685,0.000717908,0.000717908,0.000717908
5,98.694,0.0011,0.33333,1,5.85625,0.000848083,0.000848083,0.000848083
6,117.433,0.0005,0.33333,1,6.12234,0.000957037,0.000957037,0.000957037
7,135.574,0.00042,0.33333,1,6.30409,0.00100459,0.00100459,0.00100459
8,153.218,0.0002,0.33333,1,6.46538,0.000933851,0.000933851,0.000933851
9,170.787,0.00017,0.33333,1,6.49848,0.000863116,0.000863116,0.000863116
10,188.764,0.0003,0.33333,1,6.55537,0.00079238,0.00079238,0.00079238
11,206.451,0.00014,0.33333,1,6.775,0.000721645,0.000721645,0.000721645
12,223.926,0.00012,0.33333,1,6.6959,0.000650909,0.000650909,0.000650909
13,241.612,0.0001,0.33333,1,6.75694,0.000580174,0.000580174,0.000580174
14,259.243,0.00011,0.33333,1,6.66734,0.000509438,0.000509438,0.000509438
15,276.825,0.0001,0.33333,1,6.59923,0.000438703,0.000438703,0.000438703
16,294.188,0.0001,0.33333,1,6.6766,0.000367967,0.000367967,0.000367967
17,311.381,0.00012,0.33333,1,6.562,0.000297232,0.000297232,0.000297232
18,328.481,0.00011,0.33333,1,6.86029,0.000226497,0.000226497,0.000226497
19,345.83,9e-05,0.33333,1,6.63642,0.000155761,0.000155761,0.000155761
20,363.07,0.0001,0.33333,1,6.59163,8.50255e-05,8.50255e-05,8.50255e-05
