epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,451.037,2.96896,0.89467,1,0.34461,0.000472955,0.000472955,0.000472955
2,894.59,0.3908,0.9,1,0.25844,0.000930493,0.000930493,0.000930493
3,1340.92,0.32946,0.90267,1,0.27772,0.00136917,0.00136917,0.00136917
4,1790.37,0.25048,0.956,1,0.13994,0.00134412,0.00134412,0.00134412
5,2236.88,0.25482,0.952,1,0.14138,0.00131582,0.00131582,0.00131582
6,2677.72,0.2373,0.94133,1,0.14435,0.00128753,0.00128753,0.00128753
7,3115.71,0.20159,0.94933,1,0.1379,0.00125923,0.00125923,0.00125923
8,3565.96,0.18233,0.90667,1,0.2454,0.00123094,0.00123094,0.00123094
9,4010.02,0.16278,0.95467,1,0.13932,0.00120265,0.00120265,0.00120265
10,4451.98,0.17128,0.94133,1,0.15016,0.00117435,0.00117435,0.00117435
11,4893.16,0.14272,0.95733,1,0.12681,0.00114606,0.00114606,0.00114606
12,5333.13,0.14004,0.94667,1,0.13059,0.00111776,0.00111776,0.00111776
13,5801.06,0.12577,0.95867,1,0.11209,0.00108947,0.00108947,0.00108947
14,6256.16,0.12709,0.96133,1,0.10692,0.00106118,0.00106118,0.00106118
15,6718.5,0.12126,0.97067,1,0.10436,0.00103288,0.00103288,0.00103288
16,7177.92,0.10592,0.97067,1,0.07797,0.00100459,0.00100459,0.00100459
17,7619.79,0.10647,0.96267,1,0.11424,0.000976293,0.000976293,0.000976293
18,8070.48,0.12854,0.97067,1,0.09886,0.000947999,0.000947999,0.000947999
19,8509.07,0.0955,0.96267,1,0.09242,0.000919704,0.000919704,0.000919704
